column,location
0,ANDHRAPRADESH_ANANTAPUR
1,ANDHRAPRADESH_CHITTOOR
2,ANDHRAPRADESH_EASTGODAVARI
3,ANDHRAPRADESH_GUNTUR
4,ANDHRAPRADESH_KRISHNA
5,ANDHRAPRADESH_KURNOOL
6,ANDHRAPRADESH_PRAKASAM
7,ANDHRAPRADESH_SRIKAKULAM
8,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE
9,ANDHRAPRADESH_VISAKHAPATNAM
10,ANDHRAPRADESH_VIZIANAGARAM
11,ARUNACHALPRADESH_PAPUMPARE
12,ASSAM_BONGAIGAON
13,ASSAM_CACHAR
14,ASSAM_DARRANG
15,ASSAM_DHEMAJI
16,ASSAM_DIBRUGARH
17,ASSAM_GOLAGHAT
18,ASSAM_HAILAKANDI
19,ASSAM_JORHAT
20,ASSAM_KAMRUP
21,ASSAM_KARBIANGLONG
22,ASSAM_KARIMGANJ
23,ASSAM_LAKHIMPUR
24,ASSAM_NAGAON
25,ASSAM_NALBARI
26,ASSAM_SIVASAGAR
27,ASSAM_SONITPUR
28,ASSAM_TINSUKIA
29,BIHAR_PATNA
30,BIHAR_SAMASTIPUR
31,CHANDIGARH_CHANDIGARH
32,CHHATTISGARH_BILASPUR
33,CHHATTISGARH_DURG
34,CHHATTISGARH_KORBA
35,CHHATTISGARH_RAIPUR
36,DADRAANDNAGARHAVELI_DADRAANDNAGARHAVELI
37,DAMANANDDIU_DAMAN
38,GOA_NORTHGOA
39,GOA_SOUTHGOA
40,GUJARAT_AHMEDABAD
41,GUJARAT_BHARUCH
42,GUJARAT_GANDHINAGAR
43,GUJARAT_JAMNAGAR
44,GUJARAT_MORBI
45,GUJARAT_RAJKOT
46,GUJARAT_SURAT
47,GUJARAT_VADODARA
48,GUJARAT_VALSAD
49,HARYANA_BHIWANI
50,HARYANA_FARIDABAD
51,HARYANA_HISSAR
52,HARYANA_PANCHKULA
53,HARYANA_YAMUNANAGAR
54,HIMACHALPRADESH_KANGRA
55,HIMACHALPRADESH_KULLU
56,HIMACHALPRADESH_MANDI
57,HIMACHALPRADESH_SHIMLA
58,HIMACHALPRADESH_SIRMAUR
59,HIMACHALPRADESH_SOLAN
60,HIMACHALPRADESH_UNA
61,JHARKHAND_DHANBAD
62,JHARKHAND_EASTSINGHBHUM
63,JHARKHAND_JAMTARA
64,JHARKHAND_RANCHI
65,KARNATAKA_BELAGAVI
66,KARNATAKA_BENGALURURURAL
67,KARNATAKA_BIDAR
68,KARNATAKA_CHITRADURGA
69,KARNATAKA_DAKSHINAKANNADA
70,KARNATAKA_DAVANAGERE
71,KARNATAKA_DHARWAD
72,KARNATAKA_HASSAN
73,KARNATAKA_HAVERI
74,KARNATAKA_KALABURAGI
75,KARNATAKA_KOLAR
76,KARNATAKA_MANDYA
77,KARNATAKA_MYSURU
78,KARNATAKA_RAICHUR
79,KERALA_ALAPPUZHA
80,KERALA_ERNAKULAM
81,KERALA_KOLLAM
82,KERALA_KOTTAYAM
83,KERALA_KOZHIKODE
84,KERALA_MALAPPURAM
85,KERALA_PALAKKAD
86,KERALA_PATHANAMTHITTA
87,KERALA_THIRUVANANTHAPURAM
88,KERALA_THRISSUR
89,KERALA_WAYANAD
90,MADHYAPRADESH_BHOPAL
91,MADHYAPRADESH_CHHATARPUR
92,MADHYAPRADESH_DEWAS
93,MADHYAPRADESH_DHAR
94,MADHYAPRADESH_GWALIOR
95,MADHYAPRADESH_HOSHANGABAD
96,MADHYAPRADESH_INDORE
97,MADHYAPRADESH_JABALPUR
98,MADHYAPRADESH_RATLAM
99,MADHYAPRADESH_SAGAR
100,MADHYAPRADESH_SATNA
101,MADHYAPRADESH_SHAHDOL
102,MADHYAPRADESH_SINGRAULI
103,MADHYAPRADESH_UJJAIN
104,MAHARASHTRA_AHMEDNAGAR
105,MAHARASHTRA_AKOLA
106,MAHARASHTRA_AMRAVATI
107,MAHARASHTRA_AURANGABAD
108,MAHARASHTRA_CHANDRAPUR
109,MAHARASHTRA_JALGAON
110,MAHARASHTRA_JALNA
111,MAHARASHTRA_KOLHAPUR
112,MAHARASHTRA_LATUR
113,MAHARASHTRA_MUMBAICITY
114,MAHARASHTRA_NAGPUR
115,MAHARASHTRA_NANDED
116,MAHARASHTRA_NASHIK
117,MAHARASHTRA_PUNE
118,MAHARASHTRA_RAIGAD
119,MAHARASHTRA_RATNAGIRI
120,MAHARASHTRA_SANGLI
121,MAHARASHTRA_SOLAPUR
122,MAHARASHTRA_THANE
123,MANIPUR_IMPHALWEST
124,MEGHALAYA_EASTKHASIHILLS
125,MEGHALAYA_RIBHOI
126,MIZORAM_AIZAWL
127,MIZORAM_CHAMPHAI
128,MIZORAM_KOLASIB
129,MIZORAM_LUNGLEI
130,NAGALAND_DIMAPUR
131,NAGALAND_KOHIMA
132,NAGALAND_WOKHA
133,NATIONALCAPITALTERRITORYOFDELHI_CENTRALDELHI
134,ODISHA_ANGUL
135,ODISHA_BALASORE
136,ODISHA_BOUDH(BAUDA)
137,ODISHA_CUTTACK
138,ODISHA_GANJAM
139,ODISHA_JAGATSINGHPUR
140,ODISHA_JHARSUGUDA
141,ODISHA_KENDUJHAR(KEONJHAR)
142,ODISHA_KHORDHA
143,ODISHA_PURI
144,ODISHA_RAYAGADA
145,ODISHA_SAMBALPUR
146,ODISHA_SUNDARGARH
147,PUDUCHERRY_PONDICHERRY
148,PUNJAB_AMRITSAR
149,PUNJAB_BATHINDA
150,PUNJAB_FARIDKOT
151,PUNJAB_FATEHGARHSAHIB
152,PUNJAB_GURDASPUR
153,PUNJAB_HOSHIARPUR
154,PUNJAB_JALANDHAR
155,PUNJAB_LUDHIANA
156,PUNJAB_MOGA
157,PUNJAB_PATIALA
158,PUNJAB_RUPNAGAR
159,PUNJAB_SAHIBZADAAJITSINGHNAGAR
160,PUNJAB_SANGRUR
161,RAJASTHAN_ALWAR
162,RAJASTHAN_BUNDI
163,RAJASTHAN_JAIPUR
164,RAJASTHAN_JODHPUR
165,RAJASTHAN_KOTA
166,RAJASTHAN_UDAIPUR
167,SIKKIM_EASTSIKKIM
168,TAMILNADU_CHENNAI
169,TAMILNADU_COIMBATORE
170,TAMILNADU_CUDDALORE
171,TAMILNADU_MADURAI
172,TAMILNADU_SALEM
173,TAMILNADU_THOOTHUKUDI
174,TAMILNADU_TIRUCHIRAPPALLI
175,TELANGANA_HYDERABAD
176,TELANGANA_KARIMNAGAR
177,TELANGANA_KHAMMAM
178,TELANGANA_MEDAK
179,TELANGANA_NALGONDA
180,TELANGANA_NIZAMABAD
181,TELANGANA_SANGAREDDY
182,TELANGANA_WARANGALURBAN
183,UTTARAKHAND_DEHRADUN
184,UTTARAKHAND_NAINITAL
185,UTTARAKHAND_RUDRAPRAYAG
186,UTTARPRADESH_AGRA
187,UTTARPRADESH_ALLAHABAD
188,UTTARPRADESH_BAREILLY
189,UTTARPRADESH_BULANDSHAHR
190,UTTARPRADESH_FIROZABAD
191,UTTARPRADESH_GAUTAMBUDDHNAGAR
192,UTTARPRADESH_GHAZIABAD
193,UTTARPRADESH_GORAKHPUR
194,UTTARPRADESH_JHANSI
195,UTTARPRADESH_KANPURNAGAR
196,UTTARPRADESH_LUCKNOW
197,UTTARPRADESH_MATHURA
198,UTTARPRADESH_MEERUT
199,UTTARPRADESH_MORADABAD
200,UTTARPRADESH_SAHARANPUR
201,UTTARPRADESH_SONBHADRA
202,UTTARPRADESH_UNNAO
203,UTTARPRADESH_VARANASI
204,WESTBENGAL_BANKURA
205,WESTBENGAL_HOWRAH
206,WESTBENGAL_KOLKATA
207,WESTBENGAL_MALDAH
208,WESTBENGAL_MURSHIDABAD
209,WESTBENGAL_NADIA
210,WESTBENGAL_NORTH24PARGANAS
211,WESTBENGAL_PASCHIMBARDHAMAN
212,WESTBENGAL_PURBAMEDINIPUR
213,WESTBENGAL_SOUTH24PARGANAS
